variable,tipo,auc_abs,auc_interpretation,effect_size,effect_size_interpretation,iv,iv_interpretation,p_value,separation_detected,clasificacion,advertencia_iv
m_bin,categórica,0.6527399442632299,separación débil,0.13272284900817327,débil,0.3190793658087541,fuerte,0.0,False,Marginal (evaluar en conjunto),False
j_target_enc,continua,0.642816199659482,separación débil,0.7612248029437411,mediano,,,1.239918114304514e-276,False,Marginal (evaluar en conjunto),False
p,categórica,0.6240229503213784,separación débil,0.11065112021945576,débil,0.25465623648621916,medio,1.7230011262475062e-281,False,Marginal (evaluar en conjunto),False
f_is_zero,categórica,0.6151011898036276,separación débil,0.13693538941625244,débil,0.28314249613623416,medio,0.0,False,Marginal (evaluar en conjunto),False
d,continua,0.6148835435482016,separación débil,0.3575602179442626,pequeño,,,8.715850776764839e-183,False,Marginal (evaluar en conjunto),False
d_log,continua,0.6148835435482016,separación débil,0.4029320531135476,pequeño,,,8.715850776764839e-183,False,Marginal (evaluar en conjunto),False
n,categórica,0.6136843411522931,separación débil,0.1711297563175027,débil,0.36264821395122065,fuerte,0.0,False,Marginal (evaluar en conjunto),False
d_bin,categórica,0.6045255073887682,separación débil,0.0862300138523727,despreciable,0.1457423989512971,medio,1.223870768665243e-167,False,Marginal (evaluar en conjunto),False
m_is_zero,categórica,0.57535020623686,casi aleatorio,0.108582705893042,débil,0.16804203315265492,medio,3.8180288917299264e-271,False,Descartable,False
j_freq_enc,continua,0.5650708540720387,casi aleatorio,0.20570434180508707,pequeño,,,5.692888391101343e-59,True,Revisar antes de decidir (inestabilidad numérica),False
h_log,continua,0.5623225485880944,casi aleatorio,0.240737504969405,pequeño,,,2.419809595230624e-54,False,Descartable,False
h,continua,0.5623225485880944,casi aleatorio,0.16783145013668052,despreciable,,,2.419809595230624e-54,False,Descartable,False
b_log,continua,0.5615380035328362,casi aleatorio,0.1514093823594404,despreciable,,,8.733581151992195e-46,False,Descartable,False
b,continua,0.5615380035328362,casi aleatorio,0.17929081715938286,despreciable,,,8.733581151992195e-46,False,Descartable,False
b_bin,categórica,0.5610184495913888,casi aleatorio,0.05506830809688225,despreciable,0.055999053217335615,débil,1.1297145488014756e-66,False,Descartable,False
d_top1pct,categórica,0.559579752700375,casi aleatorio,0.06060202336361565,despreciable,0.09049367303354565,débil,7.688487798462803e-86,False,Descartable,False
monto,continua,0.5592770267404621,casi aleatorio,0.3238462975011087,pequeño,,,3.0711983553736707e-49,False,Descartable,False
monto_log,continua,0.5592770267404621,casi aleatorio,0.26290498918953864,pequeño,,,3.0711983553736707e-49,False,Descartable,False
h_bin,categórica,0.5551243935756627,casi aleatorio,0.04771259145564296,despreciable,0.04296342680661606,débil,1.5321700542864937e-50,False,Descartable,False
monto_bin,categórica,0.553432842308592,casi aleatorio,0.05003832502720523,despreciable,0.045738665911391495,débil,1.1059650873402937e-55,False,Descartable,False
fecha_hour_cos,continua,0.5454102674631042,casi aleatorio,0.1932185678086957,despreciable,,,1.0242949050353332e-29,False,Descartable,False
a_grouped,categórica,0.544587965072457,casi aleatorio,0.055958276214805286,despreciable,0.052921486876707384,débil,6.009785032857089e-71,False,Descartable,False
a,categórica,0.544587965072457,casi aleatorio,0.055958276214805286,despreciable,0.052921486876707384,débil,6.009785032857089e-71,False,Descartable,False
a_freq_enc,continua,0.544587965072457,casi aleatorio,0.24888275194247916,pequeño,,,7.183323405584004e-72,False,Descartable,False
j,categórica,0.5435076919224601,casi aleatorio,0.2994989546497888,débil,0.08180185521702131,débil,4.1758139910337786e-45,False,Descartable,False
c_bin,categórica,0.5408617879471773,casi aleatorio,0.0323892825526679,despreciable,0.021605675421400367,débil,3.84249701953496e-22,False,Descartable,False
h_is_zero,categórica,0.5397204615667053,casi aleatorio,0.061906434224707964,despreciable,0.05994938135690871,débil,1.7129840950788387e-89,False,Descartable,False
g,categórica,0.5396223946306475,casi aleatorio,0.05684660144628989,despreciable,0.05488421315044755,débil,3.167772200604865e-47,True,Revisar antes de decidir (inestabilidad numérica),False
g_grouped,categórica,0.537448826152141,casi aleatorio,0.04107627914271758,despreciable,0.04681413252747417,débil,3.0816236632838426e-37,False,Descartable,False
g_freq_enc,continua,0.5368654523077222,casi aleatorio,0.17228657266427716,despreciable,,,1.5721084290588852e-34,False,Descartable,False
score_top1pct,categórica,0.5359832846327117,casi aleatorio,0.131857240825599,débil,0.15052431322700693,medio,0.0,False,Descartable,False
e_bin,categórica,0.5315929367127774,casi aleatorio,0.027763042601765646,despreciable,0.016402490961977465,inútil,2.684678776065918e-18,False,Descartable,False
