variable,transformacion_aplicada,tipo_test_aplicado,iv,auc_abs,poder_predictivo,observaciones_generales
l_log,Transformación logarítmica (log1p),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.6754706876508572,débil,Marginal (evaluar en conjunto); efecto (Cohen's d) grande
l_bin,Bins por cuantiles (5 bins),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.35329770250331116,0.6610302675783728,débil,Revisar antes de decidir (inestabilidad numérica); efecto (V de Cramér) débil; inestabilidad numérica en el ajuste logístico
ratio_monto_l,Ratio monto / l,"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.6609605009032077,débil,Marginal (evaluar en conjunto); efecto (Cohen's d) pequeño
m,Variable original (sin transformar),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.6603953823044899,débil,Marginal (evaluar en conjunto); efecto (Cohen's d) pequeño
m_log,Transformación logarítmica (log1p),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.6603953823044899,débil,Marginal (evaluar en conjunto); efecto (Cohen's d) mediano
pca_dm_1,PCA (1 componente) sobre d y m,"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.6593192845773888,débil,Marginal (evaluar en conjunto); efecto (Cohen's d) pequeño
m_bin,Bins por cuantiles (5 bins),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.3190793658087541,0.6527399442632299,débil,Marginal (evaluar en conjunto); efecto (V de Cramér) débil
j_target_enc,Target encoding con validación cruzada,"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.642816199659482,débil,Marginal (evaluar en conjunto); efecto (Cohen's d) mediano
p,Variable original (sin transformar),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.25465623648621916,0.6240229503213784,débil,Marginal (evaluar en conjunto); efecto (V de Cramér) débil
f_is_zero,Zero flag (flag de valor cero),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.28314249613623416,0.6151011898036276,débil,Marginal (evaluar en conjunto); efecto (V de Cramér) débil
d,Variable original (sin transformar),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.6148835435482016,débil,Marginal (evaluar en conjunto); efecto (Cohen's d) pequeño
d_log,Transformación logarítmica (log1p),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.6148835435482016,débil,Marginal (evaluar en conjunto); efecto (Cohen's d) pequeño
n,Variable original (sin transformar),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.36264821395122065,0.6136843411522931,débil,Marginal (evaluar en conjunto); efecto (V de Cramér) débil
d_bin,Bins por cuantiles (5 bins),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.1457423989512971,0.6045255073887682,débil,Marginal (evaluar en conjunto); efecto (V de Cramér) despreciable
